fk_rede,rede,data,nome_dia,volume_total_usd,total_trades
684603a7e7eae5bac769334a169067ece3d969d108b5a2b3bfa78b0bb3461ef6,fantom,2025-05-28,Quarta-feira,324030.57041135535,346
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-06-11,Quarta-feira,1.9607655618342496E20,39412
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-05-15,Quinta-feira,4.278045449839934E20,107048
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-05-16,Sexta-feira,2.8629550663511726E20,87328
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-05-11,Domingo,4.324110256794122E19,82296
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-06-14,Sábado,1.3285034974800849E22,15926
b60d7bdd334cd3768d43f14a05c7fe7e886ba5bcb77e1064530052fed1a3f145,ethereum,2025-05-28,Quarta-feira,2.077233230936969E19,28834
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-06-11,Quarta-feira,22085012.187803358,32596
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-05-15,Quinta-feira,60936.13399292312,10
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-05-16,Sexta-feira,37057.586969567026,6
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-05-11,Domingo,11293.586924315241,2
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-06-14,Sábado,3634031.316699927,7272
45e5fa95a2f3c91cbdb5b6a50ede8cf68885c12fb67dbc5c715e3a748b7eb5e5,klaytn,2025-05-28,Quarta-feira,320394.4295266697,992
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-06-11,Quarta-feira,2.05883300032801728E17,39128
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-05-15,Quinta-feira,8.860793368956592E16,4590
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-05-16,Sexta-feira,1.68043740328924832E17,3148
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-05-11,Domingo,1.56135986554349235E18,6824
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-06-14,Sábado,4.1493036162512376E16,21084
bb93cff8851d49accdf69b665b0339e1cf15f56c036ebbea5c9d424f798e247d,avalanche,2025-05-28,Quarta-feira,2.45649344042216288E17,98098
